Date,High,Low,Open,Close,Volume,Adj Close,Price
2021-12-14,119875.0859375,117860.3828125,119371.4140625,119371.4140625,1705866.0,119315.671875,0
2021-12-15,119875.0859375,117860.3828125,118364.0546875,119371.4140625,1062410.0,119315.671875,1
2021-12-16,121386.1171875,119371.4140625,120378.765625,120378.765625,1160185.0,120322.5546875,0
2021-12-17,119875.0859375,118364.0546875,118867.734375,118364.0546875,1255838.0,118308.7890625,0
2021-12-20,117860.3828125,113830.96875,117356.703125,113830.96875,2967970.0,113777.8125,1
2021-12-21,115845.671875,113327.2890625,113327.2890625,115342.0,1356910.0,115288.140625,0
2021-12-22,116349.3515625,114334.640625,115845.671875,115342.0,1028938.0,115288.140625,0
2021-12-23,115845.671875,113830.96875,115342.0,113830.96875,1105421.0,113777.8125,1
2021-12-24,115845.671875,113327.2890625,113830.96875,115342.0,1473671.0,115288.140625,0
2021-12-27,115342.0,113830.96875,114838.3203125,113830.96875,1108549.0,113777.8125,1
2021-12-28,114838.3203125,113830.96875,113830.96875,114334.640625,2353548.0,114281.25,1
2021-12-29,118364.0546875,114838.3203125,116349.3515625,114838.3203125,1778425.0,114838.3203125,0
2021-12-30,115342.0,113327.2890625,114838.3203125,113327.2890625,1214149.0,113327.2890625,0
